id,qwen_hallucination_1to5,qwen_hallucination_0to1,qwen_factual_1to5,qwen_factual_0to1,qwen_complete_1to5,qwen_complete_0to1,qwen_coherent_1to5,qwen_coherent_0to1,qwen_parse_failed,ensemble_hallucination_1to5,agreement_hallucination_alpha,ensemble_factual_1to5,agreement_factual_alpha,ensemble_complete_1to5,agreement_complete_alpha,ensemble_coherent_1to5,agreement_coherent_alpha
soap_00016,1.0,0.0,4.0,0.75,3.0,0.5,4.0,0.75,False,1.0,nan,4.0,nan,3.0,nan,4.0,nan
soap_00080,3.0,0.5,4.0,0.75,2.0,0.25,5.0,1.0,False,3.0,nan,4.0,nan,2.0,nan,5.0,nan
soap_00082,3.0,0.5,4.0,0.75,3.0,0.5,4.0,0.75,False,3.0,nan,4.0,nan,3.0,nan,4.0,nan
soap_00052,1.0,0.0,4.0,0.75,3.0,0.5,4.0,0.75,False,1.0,nan,4.0,nan,3.0,nan,4.0,nan
soap_00048,3.0,0.5,4.0,0.75,4.0,0.75,5.0,1.0,False,3.0,nan,4.0,nan,4.0,nan,5.0,nan
soap_00041,1.0,0.0,4.0,0.75,3.0,0.5,5.0,1.0,False,1.0,nan,4.0,nan,3.0,nan,5.0,nan
soap_00026,1.0,0.0,4.0,0.75,4.0,0.75,5.0,1.0,False,1.0,nan,4.0,nan,4.0,nan,5.0,nan
soap_00019,1.0,0.0,5.0,1.0,4.0,0.75,5.0,1.0,False,1.0,nan,5.0,nan,4.0,nan,5.0,nan
soap_00004,1.0,0.0,4.0,0.75,3.0,0.5,4.0,0.75,False,1.0,nan,4.0,nan,3.0,nan,4.0,nan
soap_00046,1.0,0.0,4.0,0.75,3.0,0.5,5.0,1.0,False,1.0,nan,4.0,nan,3.0,nan,5.0,nan
soap_00011,1.0,0.0,5.0,1.0,5.0,1.0,5.0,1.0,False,1.0,nan,5.0,nan,5.0,nan,5.0,nan
soap_00085,1.0,0.0,5.0,1.0,5.0,1.0,5.0,1.0,False,1.0,nan,5.0,nan,5.0,nan,5.0,nan
soap_00090,1.0,0.0,4.0,0.75,3.0,0.5,4.0,0.75,False,1.0,nan,4.0,nan,3.0,nan,4.0,nan
soap_00007,1.0,0.0,4.0,0.75,3.0,0.5,5.0,1.0,False,1.0,nan,4.0,nan,3.0,nan,5.0,nan
soap_00006,1.0,0.0,5.0,1.0,5.0,1.0,5.0,1.0,False,1.0,nan,5.0,nan,5.0,nan,5.0,nan
soap_00010,1.0,0.0,4.0,0.75,3.0,0.5,5.0,1.0,False,1.0,nan,4.0,nan,3.0,nan,5.0,nan
soap_00056,1.0,0.0,4.0,0.75,4.0,0.75,5.0,1.0,False,1.0,nan,4.0,nan,4.0,nan,5.0,nan
soap_00050,1.0,0.0,4.0,0.75,3.0,0.5,4.0,0.75,False,1.0,nan,4.0,nan,3.0,nan,4.0,nan
soap_00087,1.0,0.0,5.0,1.0,4.0,0.75,5.0,1.0,False,1.0,nan,5.0,nan,4.0,nan,5.0,nan
soap_00070,1.0,0.0,4.0,0.75,4.0,0.75,5.0,1.0,False,1.0,nan,4.0,nan,4.0,nan,5.0,nan
